model_id,model,data_path,target,seed,seq_len,label_len,pred_len,d_model,n_heads,e_layers,d_layers,d_ff,dropout,loss,params,params_M,model_size_MB,test_loss_norm,mae_norm,rmse_norm,mape_norm,mae,rmse,mape,train_time_sec,test_time_sec,inference_time_per_sample_ms,checkpoint,loss_curve
OPSD_all_Autoformer_seed2025,Autoformer,./OPSD.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,1845763,1.845763,7.041027069091797,0.7527976930141449,0.6180729269981384,0.8613308072090149,390.07720947265625,488.77239990234375,732.8021240234375,356643264.0,8486.050882577896,3.751077890396118,0.6642602958023939,./checkpoints_baselines_OPSD\OPSD_all_Autoformer_seed2025\best_model.pth,./results_baselines_OPSD\OPSD_all_Autoformer_seed2025\loss_curve.png
OPSD_all_LSTM_seed2026,LSTM,./OPSD.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,812104,0.812104,3.097930908203125,0.428169180949529,0.4206320941448211,0.6437628865242004,357.40460205078125,288.2734069824219,452.1454162597656,193710592.0,19.036604404449463,0.0725331306457519,0.012844542349168,./checkpoints_baselines_OPSD\OPSD_all_LSTM_seed2026\best_model.pth,./results_baselines_OPSD\OPSD_all_LSTM_seed2026\loss_curve.png
OPSD_all_TCN_seed2026,TCN,./OPSD.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,218952,0.218952,0.835235595703125,0.5009848972161611,0.4556380808353424,0.6944689750671387,326.14605712890625,321.581298828125,513.5205078125,224682144.0,25.77789306640625,0.0656275749206543,0.0116216707846032,./checkpoints_baselines_OPSD\OPSD_all_TCN_seed2026\best_model.pth,./results_baselines_OPSD\OPSD_all_TCN_seed2026\loss_curve.png
OPSD_all_Transformer_seed2026,Transformer,./OPSD.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,1848835,1.848835,7.052745819091797,0.4766182700792948,0.4222752451896667,0.6777217984199524,237.9854736328125,288.62371826171875,455.5234069824219,152248032.0,68.56001853942871,0.2452130317687988,0.043423593371489,./checkpoints_baselines_OPSD\OPSD_all_Transformer_seed2026\best_model.pth,./results_baselines_OPSD\OPSD_all_Transformer_seed2026\loss_curve.png
OPSD_all_Informer_seed2026,Informer,./OPSD.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,2045187,2.045187,7.801769256591797,0.462803249557813,0.4314344525337219,0.6648023128509521,280.40447998046875,296.684326171875,455.6390075683594,133417640.0,201.8449304103852,1.6755321025848389,0.2967119005816963,./checkpoints_baselines_OPSD\OPSD_all_Informer_seed2026\best_model.pth,./results_baselines_OPSD\OPSD_all_Informer_seed2026\loss_curve.png
OPSD_all_DLinear_seed2026,DLinear,./OPSD.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,8112,0.008112,0.03094482421875,0.4109466026226679,0.4142767786979675,0.6401114463806152,250.19888305664065,295.7851257324219,464.4155883789063,219895344.0,7.45897912979126,0.0354740619659423,0.0062819305765791,./checkpoints_baselines_OPSD\OPSD_all_DLinear_seed2026\best_model.pth,./results_baselines_OPSD\OPSD_all_DLinear_seed2026\loss_curve.png
OPSD_all_iTransformer_seed2026,iTransformer,./OPSD.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,1103640,1.10364,4.210052490234375,0.4489299257596333,0.4175719916820526,0.6579238176345825,250.6322326660156,271.511962890625,430.5149841308594,267839744.0,3.009737730026245,0.0408723354339599,0.007237884794397,./checkpoints_baselines_OPSD\OPSD_all_iTransformer_seed2026\best_model.pth,./results_baselines_OPSD\OPSD_all_iTransformer_seed2026\loss_curve.png
OPSD_all_PatchTST_seed2026,PatchTST,./OPSD.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,1085256,1.085256,4.139923095703125,0.3958952476580937,0.3981199264526367,0.6210551261901855,267.0352478027344,267.8531799316406,418.9295959472656,185492832.0,6.29395866394043,0.0503096580505371,0.0089090947495195,./checkpoints_baselines_OPSD\OPSD_all_PatchTST_seed2026\best_model.pth,./results_baselines_OPSD\OPSD_all_PatchTST_seed2026\loss_curve.png
OPSD_all_TimeMixer_seed2026,TimeMixer,./OPSD.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,624333,0.624333,2.381641387939453,0.5362277179956436,0.4942574799060821,0.7183636426925659,336.0430603027344,332.1285095214844,498.6203308105469,477344800.0,29.506818294525143,0.0860350131988525,0.015235525624022,./checkpoints_baselines_OPSD\OPSD_all_TimeMixer_seed2026\best_model.pth,./results_baselines_OPSD\OPSD_all_TimeMixer_seed2026\loss_curve.png
OPSD_all_FEDformer_seed2026,FEDformer,./OPSD.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,2629123,2.629123,10.029308319091797,0.7396682302157084,0.6144176721572876,0.8490235805511475,406.87109375,469.46771240234375,723.7875366210938,535157184.0,129.9100604057312,0.2554152011871338,0.0452302463586211,./checkpoints_baselines_OPSD\OPSD_all_FEDformer_seed2026\best_model.pth,./results_baselines_OPSD\OPSD_all_FEDformer_seed2026\loss_curve.png
OPSD_all_TimesNet_seed2026,TimesNet,./OPSD.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,885762,0.885762,3.3789138793945312,0.6582813213268915,0.5624659657478333,0.7944908142089844,334.2607116699219,390.0323791503906,588.2139282226562,625420736.0,612.4296684265137,3.264648675918579,0.5781208917865378,./checkpoints_baselines_OPSD\OPSD_all_TimesNet_seed2026\best_model.pth,./results_baselines_OPSD\OPSD_all_TimesNet_seed2026\loss_curve.png
OPSD_all_Autoformer_seed2026,Autoformer,./OPSD.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,1845763,1.845763,7.041027069091797,0.8156962096691132,0.6559482216835022,0.8966939449310303,400.8607482910156,515.0274047851562,779.4806518554688,487280608.0,5872.86865735054,3.5782642364501953,0.6336575591376298,./checkpoints_baselines_OPSD\OPSD_all_Autoformer_seed2026\best_model.pth,./results_baselines_OPSD\OPSD_all_Autoformer_seed2026\loss_curve.png
